City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Canto Do Buriti,BR,80.28,clear sky,-8.11,-42.9444,Novo Hotel
254,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
256,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
257,Guantanamo,CU,78.57,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
258,Iralaya,HN,79.0,overcast clouds,15.0,-83.2333,Iglesia morava renovada
260,Springdale,US,71.83,clear sky,36.1867,-94.1288,Springdale Inn
266,Tshikapa,CD,71.24,overcast clouds,-6.4167,20.8,Tatem beach
267,Grand-Santi,GF,74.01,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
268,Harper,LR,72.93,moderate rain,4.375,-7.7169,Screensaver
271,Mehran,IR,77.81,clear sky,33.1222,46.1646,بوتیک زنانه بهار
272,Burla,IN,76.21,overcast clouds,21.5,83.8667,Manoj Kumar Sahoo
279,Morant Bay,JM,75.7,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
281,Vinukonda,IN,78.73,scattered clouds,16.05,79.75,VLS Residency
282,Lakheri,IN,76.03,broken clouds,25.6667,76.1667,प्रहलाद जी सैनी
284,Fatehpur,IN,77.27,overcast clouds,25.9333,80.8,Hotel Bombay Lodge
287,Yondo,CO,76.96,overcast clouds,7.0062,-73.9097,estacion sayab sede la felicidad
294,Morondava,MG,72.48,clear sky,-20.2833,44.2833,La Case Bambou
304,Chabahar,IR,80.06,broken clouds,25.2919,60.643,هتل گدروشیا
308,Marawi,PH,76.57,overcast clouds,7.9986,124.2928,Derogongan Residence
309,Coruripe,BR,73.36,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
312,Kudahuvadhoo,MV,81.43,light rain,2.6708,72.8944,Niyama Private Islands Maldives
318,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
319,Bandarbeyla,SO,76.71,overcast clouds,9.4942,50.8122,JABIR HOTEL
322,Mabaruma,GY,74.19,broken clouds,8.2,-59.7833,Monty Brooms Guest House
324,Mbanza-Ngungu,CD,72.34,few clouds,-5.25,14.8667,Hotel Full Business
332,Tabuk,PH,79.54,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
335,Bulungu,CD,71.69,broken clouds,-4.55,18.6,Maison MC Michel
346,Inhambane,MZ,70.3,clear sky,-23.865,35.3833,Oceano
349,Narasannapeta,IN,78.22,overcast clouds,18.4167,84.05,AVK events and catering
350,Mitsamiouli,KM,75.29,few clouds,-11.3847,43.2844,Foyer ADM
352,Havelock,US,78.75,overcast clouds,34.8791,-76.9013,Sherwood Motel
355,New Bern,US,78.01,broken clouds,35.1085,-77.0441,Hampton Inn New Bern
356,Moca,DO,71.58,few clouds,19.5,-70.5,La Aldea
357,Mogadishu,SO,77.32,overcast clouds,2.0371,45.3438,Hotel Juba
360,Ler,SS,71.58,broken clouds,8.3018,30.1418,Leer Humanitarian Hub
361,Careiro Da Varzea,BR,84.81,clear sky,-3.2003,-59.8119,POUSADA DA ALDENORA
362,Prestea,GH,71.98,light rain,5.4327,-2.1428,Channel 5
363,Puerto Colombia,CO,81.7,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
364,Bengkulu,ID,78.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
367,Rawatsar,IN,79.3,clear sky,29.2833,74.3833,Batra Hotel
370,Ilheus,BR,70.97,broken clouds,-14.7889,-39.0494,Barravento Hotel
371,Baiao,BR,76.35,overcast clouds,-2.7906,-49.6717,Município de Baião
375,Kot Kapura,IN,72.05,clear sky,30.5833,74.9,Dr. Darshan Lal
379,Puerto Lempira,HN,79.75,overcast clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
383,Kunda,IN,75.36,overcast clouds,25.7167,81.5167,Girja Sankar And Arvind gupta
387,Chhindwara,IN,70.12,overcast clouds,22.0667,78.9333,STARiHOTELS Chhindwara
